LAST SEEN   TYPE      REASON                              OBJECT                                      MESSAGE
130m        Normal    Pulled                              pod/checkoutservice-75b9cd684f-dc5tt        Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/checkoutservice:v0.10.4" already present on machine and can be accessed by the pod
130m        Normal    Created                             pod/checkoutservice-75b9cd684f-dc5tt        Container created
130m        Normal    Pulled                              pod/adservice-8576649cff-rvdb4              Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/adservice:v0.10.4" already present on machine and can be accessed by the pod
130m        Normal    Pulled                              pod/shippingservice-55656785c7-b48d2        Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/shippingservice:v0.10.4" already present on machine and can be accessed by the pod
130m        Normal    Created                             pod/adservice-8576649cff-rvdb4              Container created
130m        Normal    RegisteredNode                      node/minikube                               Node minikube event: Registered Node minikube in Controller
130m        Normal    Created                             pod/shippingservice-55656785c7-b48d2        Container created
130m        Normal    Pulled                              pod/recommendationservice-6f8f67d69-7cw9t   Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/recommendationservice:v0.10.4" already present on machine and can be accessed by the pod
130m        Normal    Created                             pod/recommendationservice-6f8f67d69-7cw9t   Container created
130m        Normal    Started                             pod/adservice-8576649cff-rvdb4              Container started
130m        Normal    Started                             pod/checkoutservice-75b9cd684f-dc5tt        Container started
130m        Normal    Pulled                              pod/frontend-694b9f76cd-7wmx2               Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.4" already present on machine and can be accessed by the pod
130m        Normal    Pulled                              pod/paymentservice-6b76dfb449-m2g8g         Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.4" already present on machine and can be accessed by the pod
130m        Normal    Created                             pod/frontend-694b9f76cd-7wmx2               Container created
130m        Normal    Started                             pod/shippingservice-55656785c7-b48d2        Container started
130m        Normal    Created                             pod/paymentservice-6b76dfb449-m2g8g         Container created
130m        Normal    Pulled                              pod/cartservice-546c548494-j4j6h            Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.4" already present on machine and can be accessed by the pod
130m        Normal    Pulled                              pod/emailservice-7466dc585-cj92q            Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/emailservice:v0.10.4" already present on machine and can be accessed by the pod
130m        Normal    Pulled                              pod/currencyservice-fd8f5dfb7-cljwx         Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/currencyservice:v0.10.4" already present on machine and can be accessed by the pod
130m        Normal    Started                             pod/recommendationservice-6f8f67d69-7cw9t   Container started
